Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
20010000,0.7322323,2.1142206007214743,87.45238095238095,0.51060385,0.058300167,2.1142205940632257,0.05292827230212944,0.73937285,0.100219205,0.00014995977,0.07763755,0.15158129
20020000,0.73774445,4.552547997432344,226.42105263157896,0.46991062,0.060552783,4.552548042057376,0.27411029478044885,0.12374891,0.09513025,0.00014988628,0.04435123,0.13554963
20030000,0.7420762,1.7853214395679189,193.1578947368421,0.416835,0.053161696,1.7853213761769824,0.08898785880668775,0.06865458,0.091863476,0.00014980878,0.035278868,0.15139255
20040000,0.7275254,2.2630236798600145,154.8095238095238,0.38470563,0.0487583,2.426108119928391,0.08028410749975592,0.059451707,0.096997306,0.00014973155,0.029574031,0.15427916
20050000,0.7345867,1.5490617787565952,130.3125,0.30883867,0.048379745,1.3991953520213856,0.07199360623010709,0.053099755,0.09571846,0.0001496606,0.031074014,0.14906514
20060000,0.7030538,0.6687465663547171,108.64285714285714,0.2532175,0.050336026,0.3998777056291986,0.06304425713068877,0.05109901,0.09855225,0.00014959023,0.030854017,0.1636757
20070000,0.6875899,2.035317028761947,232.86666666666667,0.30208138,0.050382655,2.159198162205933,0.103201793320477,0.05119475,0.09164657,0.00014951185,0.030301875,0.199141
20080000,0.7126809,1.7276056370964008,167.0,0.3039801,0.056461893,1.7998826280236244,0.050316833425313234,0.028072169,0.10029582,0.00014943822,0.035150256,0.19676715
20090000,0.7097327,1.0606640353082464,107.23076923076923,0.23718342,0.053891744,1.0606640531466558,0.14832472545094788,0.018862087,0.104889646,0.00014936354,0.032433785,0.1782615
20100000,0.7227788,1.0391298028989695,83.6875,0.29647285,0.06413619,1.0391297675669193,0.054264675825834274,0.036892656,0.09630416,0.00014928756,0.043468256,0.16352287
