Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1120000,0.70119154,43.0,0.3543311,0.02503112,0.09324731,8.884315e-05,100.52941176470588,0.5149471762746868,0.5149471762746868,1.0
1130000,0.68599254,44.0,0.42302042,0.02094488,0.09678972,8.8750574e-05,80.96396396396396,0.6616755856999329,0.6616755856999329,1.0
1140000,0.6717885,46.0,0.5110679,0.021133272,0.09534246,8.865786e-05,64.48979591836735,0.710836747673904,0.710836747673904,1.0
1150000,0.6661249,47.0,0.5189956,0.017342344,0.09695922,8.855455e-05,67.68382352941177,0.7247941187199425,0.7247941187199425,1.0
1160000,0.6316942,48.0,0.5045513,0.01769027,0.104175285,8.845077e-05,82.86607142857143,0.6493843707952414,0.6493843707952414,1.0
1170000,0.690568,49.0,0.5090724,0.015403211,0.10343792,8.8346205e-05,74.03875968992249,0.6968461481424478,0.6968461481424478,1.0
1180000,0.6985428,49.0,0.5147824,0.015678925,0.103092514,8.824335e-05,76.15037593984962,0.6690676649262134,0.6690676649262134,1.0
1190000,0.69163287,49.0,0.543385,0.013338633,0.10087635,8.81507e-05,72.14074074074074,0.7116123459957264,0.7116123459957264,1.0
1200000,0.7221217,49.0,0.53810173,0.013964379,0.09819439,8.8057146e-05,75.47692307692307,0.6663256379274222,0.6663256379274222,1.0
1210000,0.76178014,49.0,0.52932644,0.014568241,0.09444811,8.7953464e-05,78.5,0.6816243264410231,0.6816243264410231,1.0
1220000,0.77919155,49.0,0.5363979,0.014407481,0.09633714,8.785009e-05,72.11678832116789,0.6999583270619897,0.6999583270619897,1.0
1230000,0.77947235,49.0,0.5233381,0.01472159,0.09960268,8.774792e-05,77.9921875,0.6624961153481358,0.6624961153481358,1.0
1240000,0.81223303,49.0,0.52330005,0.014418548,0.10507421,8.7645014e-05,76.15873015873017,0.6678320110782864,0.6678320110782864,1.0
