Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
420000,1.4116478,63.945205479452056,1.0995988,-0.02333188,2.768595633407434,2.768595633407434,0.03866622410714626,0.099186495,0.10065515,9.584494e-05,0.05455588,0.09532842,1.0
430000,1.3449944,59.94736842105263,0.9693263,0.00595433,3.1043963772909984,3.1043963772909984,0.03275877178280747,0.0598416,0.08942729,9.574497e-05,0.04396523,0.068317614,1.0
440000,1.3197652,46.41269841269841,1.6336694,0.024488334,3.775693504139781,3.775693504139781,0.022951924303924898,0.1958618,0.096024916,9.565547e-05,0.04546425,0.12587006,1.0
450000,1.3018807,49.3728813559322,1.4419805,0.057857297,4.0338701918973765,4.0338701918973765,0.025550716682889704,0.101604916,0.09528511,9.555272e-05,0.050607014,0.12323984,1.0
460000,1.3519783,82.91666666666667,0.76219046,0.05345616,2.9007079264392024,2.9007079264392024,0.040157395536484924,0.050374255,0.108022004,9.545057e-05,0.04769431,0.103230454,1.0
470000,1.3344798,90.27777777777777,0.76762885,0.04994853,3.012390995347822,3.012390995347822,0.03977881510414787,0.067147836,0.09861316,9.535256e-05,0.04400816,0.039131682,1.0
480000,1.283966,74.17948717948718,0.8661282,0.04899384,3.0218365482794933,3.0218365482794933,0.026955824273710068,0.086413965,0.09876961,9.5244846e-05,0.03338502,0.04265972,1.0
490000,1.354068,59.184615384615384,1.2958243,0.06312496,3.457190432585776,3.457190432585776,0.02496029726898996,0.09579138,0.09200291,9.514997e-05,0.0339946,0.06489774,1.0
500000,1.3206041,54.61363636363637,1.976736,0.09174851,4.379417465643936,4.379417465643936,0.025163191700291434,0.13053796,0.09842189,9.504793e-05,0.031959835,0.043168295,1.0
510000,1.4664454,54.35294117647059,1.6549062,0.06173873,4.18780397930566,4.18780397930566,0.015896457329611566,0.12708926,0.0980557,9.4946074e-05,0.022633774,0.044399805,1.0
520000,1.3844062,57.93333333333333,1.7784952,0.04933396,3.7576643844445545,3.7576643844445545,0.019507368149546286,0.123382926,0.09260551,9.485028e-05,0.041129865,0.086748496,1.0
530000,1.444902,56.125,1.7630781,0.05414415,3.8074701117797636,3.8074701117797636,0.021627525287404865,0.11581068,0.09739774,9.4746625e-05,0.038737837,0.13064653,1.0
540000,1.505834,67.97297297297297,1.0554377,0.04667721,2.97677838018066,2.97677838018066,0.025665626358731014,0.068366766,0.09507696,9.464817e-05,0.026083319,0.05319607,1.0
550000,1.6011852,46.7906976744186,1.5034195,0.024961133,3.667009776414827,3.667009776414827,0.014894481304339891,0.113148734,0.10383773,9.454471e-05,0.026233187,0.085474394,1.0
560000,1.6096877,64.88679245283019,1.1135292,0.02911972,2.7842722580118,2.7842722580118,0.030553711191663203,0.07109444,0.098566554,9.444826e-05,0.058366615,0.15422282,1.0
570000,1.4822624,60.032786885245905,1.6011832,-2.6341942e-05,3.5814986125496793,3.5814986125496793,0.021343746961456193,0.11758429,0.099628076,9.434854e-05,0.030486945,0.06299769,1.0
580000,1.5375271,81.18181818181819,1.7026979,-0.0019757235,3.983285363153978,3.983285363153978,0.042516222240572624,0.103536434,0.10463365,9.425024e-05,0.04861987,0.13433535,1.0
590000,1.5521733,53.06666666666667,2.498023,-0.010866944,4.540195121864477,4.540195121864477,0.018818853675232578,0.093001015,0.098836675,9.414759e-05,0.044344246,0.12263284,1.0
600000,1.4827632,54.92307692307692,2.7547553,-0.014564842,4.388784067610563,4.388784067610563,0.02431337004606375,0.10008204,0.100562334,9.4045565e-05,0.04557044,0.11716061,1.0
610000,1.4169576,68.25,2.1724758,0.0002805655,3.5223368967621074,3.5223368967621074,0.019659916339080454,0.077458955,0.10101869,9.395037e-05,0.036740102,0.12039931,1.0
620000,1.4190433,56.63855421686747,1.9816234,0.030633267,3.579024859127544,3.579024859127544,0.03636465496605351,0.11373379,0.09699752,9.385372e-05,0.05084901,0.20315951,1.0
630000,1.4618303,47.206896551724135,1.9598097,0.02931844,3.5509699555649155,3.5509699555649155,0.017783996076376617,0.09865602,0.09548132,9.374691e-05,0.05200848,0.17991939,1.0
640000,1.4285402,57.009433962264154,2.1881406,0.011365753,3.947597310656593,3.947597310656593,0.020063968889770054,0.09045914,0.0996609,9.365175e-05,0.04590558,0.1272528,1.0
650000,1.4405088,67.58510638297872,2.0892625,0.0009095569,3.6231734124903983,3.6231734124903983,0.0340656689665419,0.094326824,0.096076354,9.355899e-05,0.054893274,0.16039401,1.0
660000,1.5662546,65.66666666666667,1.8207349,-0.013183248,3.193971509113908,3.193971509113908,0.028362800119793974,0.09431183,0.096222416,9.344974e-05,0.03777483,0.124936365,1.0
670000,1.4669766,56.22950819672131,2.4005337,-0.038446996,3.9950614630683394,3.9950614630683394,0.02218977927253389,0.08354728,0.101311386,9.3348084e-05,0.04764956,0.13823861,1.0
680000,1.3662999,56.60144927536232,2.5392077,-0.032282498,3.575393774371216,3.575393774371216,0.024910006214918543,0.06410871,0.09540587,9.325407e-05,0.043289147,0.2275848,1.0
690000,1.3103427,66.4494382022472,2.0561986,0.004925795,3.9832351522499256,3.9832351522499256,0.030569125432521105,0.1013275,0.093563475,9.3150826e-05,0.04790581,0.1500079,1.0
700000,1.2710674,45.707142857142856,2.4731245,0.02323368,3.857685377768108,3.857685377768108,0.02093730478081852,0.08957415,0.0982226,9.3041985e-05,0.055118263,0.15663153,1.0
710000,1.3230183,61.75247524752475,2.51639,0.033119213,4.307591757353614,4.307591757353614,0.029835364687731306,0.07248284,0.09866625,9.29491e-05,0.047533363,0.12616426,1.0
720000,1.2544804,56.21,2.4034247,0.049142644,3.7414326703909673,3.7414326703909673,0.0334334259410624,0.087758034,0.09903738,9.284564e-05,0.058466952,0.21501374,1.0
730000,1.2708962,47.74820143884892,2.4682372,0.031320963,3.836775903650325,3.836775903650325,0.019993619276411672,0.11052807,0.09763332,9.2746704e-05,0.054682612,0.17166455,1.0
740000,1.2681719,43.81656804733728,2.7193916,0.024683349,3.9847946420929135,3.9847946420929135,0.01692185405167867,0.087092295,0.10007958,9.2651404e-05,0.037752666,0.11055509,1.0
750000,1.2820413,53.26495726495727,2.4625113,0.02448674,3.504476687665713,3.504476687665713,0.024625787917934988,0.07926436,0.10135815,9.254302e-05,0.049427304,0.169364,1.0
