Steps,Policy/Entropy,Environment/Lesson,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1905568,0.0,-0.00150742046118005,137.02985074626866,-0.005689416,0.010046269,-0.0015074984351200844,0.055347364965770675,0.009307458,0.091851786,0.00029981026,0.06111903,1.3037546
20000,2.0998633,2.0,0.8619507888876263,31.476793248945146,0.46510965,0.025383307,0.8628502908652111,0.125186358254908,0.03289609,0.10473106,0.00029955007,0.3205496,0.8540304
30000,2.0425637,2.0,0.5793968512420067,75.15646258503402,0.3682151,0.18774138,0.5776371789627335,0.1393183667060672,0.017460713,0.10172252,0.00029926916,0.12929124,0.8242297
40000,1.6978773,4.0,0.8381997178820474,38.369369369369366,0.67460984,0.266505,0.8389442100514114,0.10292255930703689,0.018130932,0.09644502,0.00029896107,0.31475848,0.34373122
50000,1.4601463,6.0,0.8313790365325542,41.213197969543145,0.6741861,0.385273,0.830872075425254,0.06521360222438369,0.008031902,0.099107996,0.00029864843,0.19018976,0.20868742
60000,1.3324445,9.0,0.8378687058635926,39.6017316017316,0.6898827,0.46252006,0.8378802504374351,0.049609346488627776,0.007892189,0.10257133,0.00029833865,0.15444352,0.21636562
70000,1.2547348,10.0,0.7283540298122653,66.86046511627907,0.6196253,0.47620347,0.7292769225744101,0.14970108104798083,0.0064440332,0.096014574,0.00029802858,0.20820276,0.35291404
80000,1.2385865,12.0,0.809166686184687,46.75,0.66791844,0.4544499,0.8078536001321311,0.07140608103597694,0.0043896856,0.09872388,0.00029774904,0.14248154,0.2083716
90000,1.0668821,15.0,0.8841137420714779,28.058823529411764,0.80562586,0.45754585,0.8844970950954839,0.027898876143521385,0.0030843588,0.094928384,0.0002974709,0.08152226,0.09897645
100000,1.3135775,16.0,0.40860004102190334,119.81333333333333,0.59277225,0.4565179,0.40527024502689774,0.4286165563515513,0.00513036,0.09964358,0.00029716143,0.24494728,0.26155144
110000,1.1933422,16.0,0.4183169154530782,125.60493827160494,0.4091244,0.38730934,0.4212032222166294,0.3220479690310795,0.009196758,0.09650768,0.00029684848,0.23048463,0.26670542
120000,1.1111246,16.0,0.4000978222365181,131.96,0.3947572,0.2982608,0.402563037099065,0.2413424039102235,0.0086902175,0.0951928,0.00029653782,0.16720454,0.24657504
130000,1.0324533,16.0,0.5620869950634306,108.33695652173913,0.42738047,0.20048662,0.5583834856428126,0.1854117224080568,0.009097371,0.10061611,0.00029625776,0.15910439,0.20273799
140000,0.93366206,16.0,0.5758625802622398,102.34020618556701,0.47554973,0.19847131,0.5756909474730492,0.17102915497283297,0.006954065,0.0968403,0.0002959763,0.16400273,0.20850646
150000,0.9128509,16.0,0.5762103912917879,100.05825242718447,0.46918842,0.18735518,0.5763653551156704,0.15287069550070626,0.006142298,0.09541369,0.00029566378,0.141162,0.20668909
160000,0.8802433,16.0,0.5987138394478031,96.75757575757575,0.47400454,0.14393942,0.5989557626296063,0.13827070557721416,0.006357687,0.09949226,0.00029535135,0.14105287,0.18716002
170000,0.86423725,16.0,0.6090667002546113,94.4095238095238,0.48341134,0.07566728,0.6095618869577135,0.11882433185265177,0.0066014393,0.09739347,0.00029503816,0.12266246,0.16832547
180000,0.8360508,16.0,0.6160244972897916,92.70642201834862,0.4897699,0.095707685,0.6156207785147045,0.12738561270536358,0.007222558,0.09532067,0.00029472722,0.1250614,0.15192774
190000,0.852625,16.0,0.6291795186967087,91.66346153846153,0.49427292,0.09117149,0.6285872885159084,0.11946891716991861,0.0056236563,0.096178666,0.00029445058,0.12280968,0.14021318
200000,0.88206124,16.0,0.6550765316933393,85.23770491803279,0.5335126,0.10627737,0.6553526106944754,0.105758075771684,0.005143405,0.09933361,0.0002941719,0.11593731,0.12875435
210000,0.8684862,16.0,0.6457584405129929,82.97247706422019,0.5271342,0.09606119,0.6606238448838575,0.09646158317454295,0.0046973503,0.10020778,0.00029386097,0.116661415,0.1459777
220000,0.90132606,16.0,0.6058953460594563,87.1900826446281,0.53727967,0.101290636,0.5913911791872387,0.10478603949747241,0.0056458325,0.093742035,0.00029354944,0.11053584,0.11606149
230000,0.88298595,16.0,0.6753636672015279,80.11570247933884,0.53768295,0.11384658,0.6753526177288087,0.08829392612457646,0.004412287,0.09516492,0.00029323783,0.106430665,0.11036626
240000,0.81896126,17.0,0.6989111391413543,74.28888888888889,0.54971164,0.14803158,0.6991481580116131,0.07014379529454917,0.005265106,0.107940614,0.00029292604,0.089800246,0.101896964
250000,0.66550314,18.0,0.714678856714146,70.42335766423358,0.5568056,0.16121025,0.7158272405610467,0.0604620995747782,0.0040711,0.10258714,0.0002926468,0.06821005,0.10926868
260000,0.82992697,19.0,0.7130579979469379,70.7463768115942,0.597843,0.1604941,0.7116183638572693,0.07144690413311448,0.0039129285,0.09364719,0.00029236663,0.098726206,0.0644893
270000,0.820184,19.0,0.6675983199085562,77.80341880341881,0.55432814,0.2016611,0.6683620748848751,0.08549955611293815,0.0043671574,0.098827876,0.00029205624,0.10513868,0.09323964
280000,0.8519967,19.0,0.652083977451548,76.75555555555556,0.5727144,0.22960062,0.6516740243224537,0.07345880146706751,0.0037689214,0.09942566,0.00029174413,0.09034212,0.095245406
290000,0.64792883,20.0,0.6491034797729989,86.80172413793103,0.46618408,0.25563154,0.6502298504627985,0.10344218079538631,0.0047964966,0.096798055,0.0002914347,0.11255149,0.10410823
300000,0.5363055,20.0,0.6525884369550192,85.95652173913044,0.503665,0.23784958,0.6520666252011839,0.08650593310594559,0.0030178311,0.09161044,0.00029112474,0.097553104,0.07857866
310000,0.47054926,20.0,0.649652205132272,84.47826086956522,0.51793116,0.19350621,0.6497332865777223,0.0998939791775268,0.0038873048,0.09772553,0.0002908454,0.10945179,0.060232032
320000,0.40247184,20.0,0.6467278105323203,83.2,0.5221759,0.1681779,0.6465610732634862,0.07633724314703917,0.004051386,0.10018617,0.00029056775,0.092248626,0.053021275
330000,0.3522562,20.0,0.6758925025351346,80.08870967741936,0.53679985,0.14027575,0.6761397488655583,0.06079819792461011,0.0037157815,0.0958407,0.0002902592,0.074710004,0.039799005
340000,0.34914678,20.0,0.6639371859921204,81.01639344262296,0.5420989,0.12618004,0.6640464179828519,0.057260816280356015,0.0036149684,0.10076116,0.00028994743,0.07062375,0.04926918
350000,0.36909083,20.0,0.6437758934997215,83.80172413793103,0.5342721,0.13799396,0.6434080030383735,0.054103452722333245,0.0041259676,0.097293764,0.0002896372,0.061062384,0.03358677
360000,0.3614339,20.0,0.6565546525305748,82.75630252100841,0.5243617,0.15179352,0.6568194049100081,0.043378774129087104,0.0042863437,0.0962152,0.00028935698,0.048928127,0.039896093
370000,0.35213226,20.0,0.6576749603533425,82.52066115702479,0.53102505,0.13302347,0.6574638453622659,0.0392781037138775,0.004139132,0.10107503,0.00028907528,0.046107467,0.028813725
380000,0.34614828,20.0,0.6502278075708697,82.325,0.5201232,0.12506743,0.650172188381354,0.037057066571045044,0.004707695,0.09882516,0.00028876163,0.04500083,0.035417818
