Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1390000,0.42969438,0.0,13.073932,1.0804592,0.098582596,7.2295275e-05,248.0,35.42273715647256,35.42273715647256,1.0
1400000,0.4320042,0.0,13.480604,1.1887946,0.09405882,7.2086565e-05,248.0,36.35543200704787,36.35543200704787,1.0
1410000,0.43028978,0.0,13.400119,1.4443263,0.09758175,7.189559e-05,247.45945945945945,37.82730397662601,37.82730397662601,1.0
1420000,0.4508881,0.0,13.344448,1.6725681,0.0964831,7.170796e-05,246.09756097560975,37.010328928629555,37.010328928629555,1.0
1430000,0.43553698,0.0,13.031754,1.3312316,0.096078545,7.149861e-05,248.0,34.449263735612234,34.449263735612234,1.0
1440000,0.44501984,0.0,13.118172,1.6075687,0.10145767,7.128646e-05,247.4418604651163,37.4751148053578,37.4751148053578,1.0
1450000,0.45190412,0.0,13.372119,1.3022907,0.08747471,7.109722e-05,248.0,37.08727477236492,37.08727477236492,1.0
1460000,0.44690606,0.0,13.749405,1.3420801,0.094802335,7.090655e-05,248.0,36.2186971226254,36.2186971226254,1.0
1470000,0.4342099,0.0,13.540842,1.6428369,0.09352609,7.069425e-05,247.60526315789474,37.21816701638071,37.21816701638071,1.0
1480000,0.43833196,0.0,13.536227,1.3440834,0.099780075,7.050373e-05,248.0,35.180804999251116,35.180804999251116,1.0
1490000,0.4383384,0.0,13.34401,1.4666533,0.09455616,7.031481e-05,246.69767441860466,36.42402924810137,36.42402924810137,1.0
1500000,0.4538707,0.0,13.8151245,1.7690351,0.10196813,7.010316e-05,247.53846153846155,37.32645382025303,37.32645382025303,1.0
1510000,0.43463776,0.0,13.189512,1.4189138,0.096548505,6.9892456e-05,247.84782608695653,35.414226438688196,35.414226438688196,1.0
1520000,0.45437762,0.0,13.8458,1.7190161,0.09459324,6.970222e-05,247.3421052631579,36.442994533441,36.442994533441,1.0
1530000,0.43037054,0.0,13.630157,1.5364021,0.096890315,6.951312e-05,248.0,37.83817890213757,37.83817890213757,1.0
1540000,0.42927352,0.0,13.513448,1.3283186,0.09860304,6.930648e-05,248.0,35.76871145472807,35.76871145472807,1.0
1550000,0.43682367,0.0,13.180887,1.31331,0.101735905,6.909647e-05,247.8,35.294621051886146,35.294621051886146,1.0
1560000,0.4418406,0.0,13.2100525,1.2985356,0.102334484,6.8885114e-05,248.0,36.34008967876434,36.34008967876434,1.0
1570000,0.4264776,0.0,13.033963,1.4308441,0.098097906,6.869663e-05,248.0,35.53724644031931,35.53724644031931,1.0
1580000,0.3955196,0.0,13.19586,1.4547307,0.10297593,6.8505964e-05,247.43243243243242,36.24935705597336,36.24935705597336,1.0
1590000,0.4199071,0.0,13.311789,1.379044,0.09905867,6.829213e-05,248.0,36.527285394214445,36.527285394214445,1.0
1600000,0.4100572,0.0,13.439064,1.6041358,0.09810698,6.810337e-05,247.47058823529412,36.66265956333705,36.66265956333705,1.0
1610000,0.39641038,0.0,13.2832985,1.5059054,0.10158541,6.79126e-05,247.6888888888889,37.01653242111206,37.01653242111206,1.0
1620000,0.39073774,0.0,13.404859,1.5740067,0.09673706,6.770026e-05,248.0,37.61988070072272,37.61988070072272,1.0
1630000,0.39186147,0.0,13.335263,1.318725,0.10194113,6.7487825e-05,248.0,37.290967646099276,37.290967646099276,1.0
1640000,0.38867888,0.0,13.657229,1.470787,0.09920888,6.7299e-05,247.93939393939394,37.3584753816778,37.3584753816778,1.0
1650000,0.3920923,0.0,13.59488,1.6907505,0.09808497,6.710866e-05,247.54761904761904,36.76127138370421,36.76127138370421,1.0
