Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
10000,2.1778984,-0.31833237,0.10548899,0.32524648,0.1043142,9.998675e-05,0.09716579,1.3513539,168.11111111111111,-3.7033312368392943,-3.7033312368392943,0.16092513114213944,1.0
20000,2.0787044,-0.40302905,0.13476226,0.5120407,0.103882566,9.996198e-05,0.16373058,0.6347824,61.943661971830984,2.644043688904749,2.644043688904749,0.134801613192444,1.0
30000,1.8895173,-0.48197433,0.19172058,0.26743507,0.10152078,9.993806e-05,0.1690426,0.8698065,76.025,1.4196526668965816,1.4196526668965816,0.1615606177248992,1.0
40000,1.7030634,0.022580765,0.24258295,0.37021524,0.09795455,9.991333e-05,0.18241204,0.5735823,47.49264705882353,2.5410843315854,2.5410843315854,0.0937157714002724,1.0
50000,1.5516921,0.50031126,0.29415795,0.6361749,0.09794064,9.988774e-05,0.17235455,0.37457865,48.63157894736842,3.404687937220623,3.404687937220623,0.08189296691903267,1.0
60000,1.5555776,0.6760097,0.29429072,0.31897345,0.09938683,9.986291e-05,0.16844568,0.48192286,47.2962962962963,2.774334295609287,2.774334295609287,0.07275528822390136,1.0
70000,1.575479,1.6250368,0.35163113,0.444354,0.09803837,9.983663e-05,0.1164517,0.33591846,34.31363636363636,4.0204555593195,4.0204555593195,0.04296293965334334,1.0
80000,1.5357943,2.0896323,0.3485394,0.46680564,0.099758945,9.981055e-05,0.11831707,0.2622997,35.986111111111114,4.178737267016251,4.178737267016251,0.04347687445811614,1.0
90000,1.557786,2.1983187,0.40469214,0.2840264,0.09451128,9.978717e-05,0.089219436,0.172699,26.173267326732674,3.2426706502590275,3.2426706502590275,0.02481207332752755,1.0
100000,1.67243,2.4107268,0.43603402,0.21913075,0.09738411,9.976374e-05,0.06592505,0.13688654,29.633587786259543,3.239261610426377,3.239261610426377,0.022406603128227898,1.0
110000,1.6557227,2.3512557,0.45527482,0.2471085,0.109134756,9.973765e-05,0.107723,0.2199038,33.39819004524887,3.390417900952426,3.390417900952426,0.036853463666259564,1.0
120000,1.7046018,1.3286444,0.33510262,0.27558154,0.094393,9.971119e-05,0.111868545,0.18718725,93.1358024691358,1.8612935410605536,1.8612935410605536,0.1217499750200659,1.0
130000,1.6579626,1.5507545,0.62683105,0.24192849,0.095597334,9.968689e-05,0.06485235,0.13070238,78.96907216494846,2.660511797788192,2.660511797788192,0.059106550583311795,1.0
140000,1.582572,1.6168618,0.9273657,0.2500108,0.09366079,9.9663484e-05,0.08691304,0.1258392,85.91666666666667,2.3045074161556034,2.3045074161556034,0.08120067397572307,1.0
150000,1.4432766,1.3654909,1.1207533,0.23127551,0.10454587,9.9637095e-05,0.10676378,0.14029543,116.91428571428571,1.6090120200599942,1.6090120200599942,0.16460847323760391,1.0
