Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1731133,-4.691023460747961,105.86363636363636,0.0,-0.3799907,0.09046671,-4.691023447296836,0.08756024864586917,0.39305487,0.101116106,0.00029992388,0.1048144,1.4670671
20000,2.0399697,-8.60912984579979,237.0,0.0,-1.2071618,0.09544774,-8.609129753377703,0.5351794699413909,0.05356037,0.10172184,0.0002997743,0.13613525,1.3804071
30000,1.8588052,-10.927087629344475,453.3888888888889,0.0,-1.1854879,0.14442398,-10.92708760396474,0.8006694517615769,0.044891626,0.10123144,0.00029961896,0.17065795,1.3276852
40000,1.7168313,-5.669786084766543,394.42857142857144,0.0,-0.79968905,0.17884734,-5.897475329267036,0.6431826991029084,0.055746358,0.10232876,0.00029947763,0.164404,1.1564071
50000,1.6611763,-3.7787323483963022,455.2857142857143,0.0,-0.30409494,0.20591469,-3.7623960457387424,0.8339955267895546,0.71193284,0.09888987,0.0002993134,0.2320935,0.8280829
60000,1.6361893,-2.7145782430061627,548.2631578947369,0.0,-0.099388964,0.20219441,-2.6518023929617263,1.0153233389370144,0.043060705,0.09636348,0.0002991713,0.17882156,0.77849114
70000,1.6006033,2.227516540678287,364.1333333333333,0.0,0.09227878,0.19988894,2.2275165271821122,0.6998525803287824,0.08487276,0.106265225,0.00029903036,0.18805096,0.71989024
80000,1.5465139,-1.3724065480545191,462.1578947368421,0.0,0.16382053,0.22481903,-1.372406629916258,0.8421631361308851,0.06471754,0.10205461,0.0002988725,0.17775375,0.6577644
90000,1.492951,1.6926304202741425,452.2307692307692,0.0,0.1386277,0.21891348,1.926354070197964,0.9008736980031244,0.8873968,0.10079942,0.00029871648,0.1743582,0.56964576
100000,1.4793206,6.2084173137971765,205.78947368421052,0.0,0.19483797,0.22884586,5.842393873986673,0.3800011901650578,0.65310127,0.101466574,0.0002985746,0.19267286,0.5364036
110000,1.4626064,3.6142662570557476,408.8666666666667,0.0,0.22569856,0.23080917,3.614266130575587,0.8383084774793436,0.23617764,0.10775056,0.00029843347,0.16546449,0.57308686
120000,1.4555284,0.8067888869431251,371.0833333333333,0.0,0.29852253,0.2190847,0.8067888785764864,1.0263924203773058,0.085357666,0.09435234,0.00029827855,0.15788828,0.69268125
130000,1.4142885,1.6393597795121353,464.3157894736842,0.0,0.24532427,0.18712112,1.6393598185172664,0.7771362062347563,0.040457767,0.1008961,0.0002981207,0.13360082,0.70934427
140000,1.3455726,0.6987381728369879,96.75,1.0,0.19262157,0.20318425,0.6987381650201578,0.2529421513536363,0.9330057,0.09529435,0.00029796516,0.17373875,0.6415458
150000,1.3161206,2.434559444685259,186.0,1.0,0.38275036,0.1846143,2.434559369358672,0.32975217752779523,0.26150045,0.09771869,0.0002978242,0.14299378,0.5893696
160000,1.327392,0.9262456125216264,325.0,1.0,0.25199735,0.16545655,0.9262455079733822,0.6115825357181686,0.07681655,0.09700768,0.00029768166,0.14929709,0.5874051
170000,1.2745984,3.1886577184165357,293.7692307692308,1.0,0.23460296,0.17775929,3.1886576592246105,0.639508518193347,0.2926932,0.099775895,0.00029752188,0.1883904,0.5815712
180000,1.2493154,1.370788655362208,290.4117647058824,1.0,0.17529987,0.22295696,1.3707886005142749,0.5604722436024424,0.035560124,0.1034321,0.0002973639,0.15151854,0.534481
190000,1.2771436,0.31000654105879555,266.0,1.0,0.07736867,0.17848882,0.31000650955137404,0.47504472404130194,0.031132583,0.095982105,0.00029722147,0.108418286,0.46913874
200000,1.3145399,-0.6320061971048554,373.46153846153845,1.0,0.02805383,0.16872141,-0.6320062771655616,0.8632584537307804,0.10249259,0.09853885,0.00029707886,0.14804934,0.561387
210000,1.2346617,1.5591032120506505,214.72727272727272,1.0,0.034112744,0.16386051,1.55910316805768,0.5255110903897069,0.023016967,0.09974646,0.00029692103,0.12125715,0.49682003
220000,1.1943218,-0.4623859806087377,298.7142857142857,1.0,-0.009706895,0.15905268,-0.4623860334155501,0.9989749794559819,0.020726182,0.09738201,0.0002967731,0.14697067,0.49393997
230000,1.126195,1.44489632871066,744.2352941176471,1.0,-0.0034574952,0.17983665,1.4448961977044035,1.290453897022149,0.049922444,0.098622225,0.0002966324,0.11240107,0.4194668
240000,1.0934336,0.735109973253817,383.1578947368421,1.0,-0.036625687,0.20689665,0.7351099361424273,0.5544602138627517,0.13578394,0.10069599,0.00029647574,0.1420161,0.5169007
250000,0.9640571,8.313324030381029,1025.9,1.0,0.0007522204,0.21800955,8.313323956575516,1.3890771310776473,0.45781064,0.09767368,0.00029631914,0.12836325,0.4359982
260000,0.9396814,1.8407681573692145,448.3,1.0,-0.045728367,0.254463,1.8407680662913193,0.7467113810591399,0.18959558,0.10297911,0.00029617624,0.12645201,0.35069644
270000,1.001187,3.0080204274414464,378.0,1.0,0.055396717,0.240568,3.008020086612427,0.7148202302799161,0.3679308,0.10062935,0.0002960336,0.15872395,0.42739135
280000,1.0544058,2.4548568978519856,722.5,1.0,0.05830776,0.24615577,2.454856798763963,0.7535828719070802,0.031896062,0.095131084,0.0002958724,0.17001407,0.5079177
290000,1.0866162,3.0052115484564155,735.0384615384615,2.0,-0.0016807991,0.21484931,3.1711730001028435,1.1156705167051404,0.062247682,0.10097275,0.00029571637,0.13373272,0.4877792
300000,1.0854372,0.9266310020601519,142.08333333333334,2.0,0.17449945,0.2079056,0.8438127819412966,0.2898305906914175,0.1286637,0.10284332,0.00029557158,0.15698755,0.54939276
310000,1.1175752,-0.24255261665863972,248.65,2.0,0.085777536,0.22978155,-0.24255266047535518,0.5374543784186244,0.07197322,0.09594837,0.00029542012,0.1722777,0.43280506
320000,1.1914941,1.7754721398995306,277.06666666666666,2.0,0.16153732,0.23130411,1.7754721506297775,0.6512306529097259,0.07846597,0.104472354,0.00029527044,0.14629366,0.5012077
330000,1.2054936,2.296534540958582,329.0,2.0,0.16118495,0.19336528,2.2965345163724575,0.48480534297414124,0.29536742,0.09606993,0.00029512588,0.10310928,0.50447863
340000,1.1754786,1.2814564609797447,240.5,2.0,0.1196423,0.1570781,1.2375022500761093,0.3474223203957081,0.021798281,0.105165206,0.0002949683,0.0980386,0.5041356
350000,1.1679732,0.3443858339237006,137.3846153846154,2.0,0.15531489,0.14916654,0.5569718548884759,0.24232053004491788,0.041295797,0.09269591,0.0002948209,0.113553114,0.46943876
360000,1.2188183,-1.0077414431762497,370.5,2.0,0.06658809,0.13909166,-1.006733183346013,0.6229772377345297,0.016180199,0.09232835,0.00029467704,0.11138797,0.44761324
370000,1.2537572,-0.25399073342049444,218.0909090909091,2.0,0.003602035,0.13985117,-0.25399079041560957,0.38530707003718073,0.024078345,0.09865864,0.0002945195,0.08839081,0.47075588
380000,1.2404312,-0.05274074078756859,591.7272727272727,2.0,0.045116823,0.12166224,0.04185179866507989,0.7806313494686037,0.11431503,0.09749934,0.00029436455,0.09144212,0.42266446
390000,1.2678684,3.38415939269933,352.75,2.0,0.12694052,0.13476188,3.0470188861759038,0.6121499562062896,0.07183162,0.09919558,0.00029422308,0.10734108,0.51107085
