Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1820000,0.8692959,2.073486,0.2254066,0.09674057,8.184571e-05,72.6796875,2.330559164050996,2.330559164050996,1.0
1830000,0.86533195,1.8261224,0.2396592,0.096659854,8.1747654e-05,76.86206896551724,2.152259666950275,2.152259666950275,1.0
1840000,0.88387257,2.3936534,0.1290294,0.09925399,8.165259e-05,79.06451612903226,3.594379759603931,3.594379759603931,1.0
1850000,0.8716722,2.371961,0.22640519,0.09670691,8.154784e-05,78.13513513513513,2.9926047650250522,2.9926047650250522,1.0
1860000,0.9070052,1.9367156,0.3189109,0.09550686,8.14492e-05,85.70652173913044,2.263993800341428,2.263993800341428,1.0
1870000,0.88034296,2.074801,0.2436424,0.0989099,8.134633e-05,98.0,2.9076809556253496,2.9076809556253496,1.0
1880000,0.9239744,2.1747239,0.25045207,0.097634695,8.12503e-05,83.01851851851852,2.9015739844479693,2.9015739844479693,1.0
1890000,0.8991905,1.9154315,0.2423294,0.0971346,8.1149614e-05,104.26315789473684,2.700199060534176,2.700199060534176,1.0
1900000,0.8728232,2.0267956,0.13903716,0.103007495,8.105426e-05,94.4888888888889,2.769871394501792,2.769871394501792,1.0
1910000,0.8866283,2.409228,0.2186333,0.09773201,8.095766e-05,75.50833333333334,3.488206545015176,3.488206545015176,1.0
1920000,0.84607506,2.0884511,0.16546048,0.100135535,8.085923e-05,96.44705882352942,3.0436629202307723,3.0436629202307723,1.0
1930000,0.8593276,2.2113483,0.1443181,0.09375469,8.0756705e-05,77.55737704918033,3.1083372148775283,3.1083372148775283,1.0
1940000,0.8343145,1.9756751,0.13766631,0.094683155,8.065066e-05,85.53333333333333,2.6310914436976116,2.6310914436976116,1.0
1950000,0.8432922,2.115929,0.10363953,0.09045446,8.05467e-05,73.03125,2.7575559089891613,2.7575559089891613,1.0
1960000,0.8374629,1.9025668,0.14346915,0.10008487,8.045141e-05,91.94444444444444,2.518347892165184,2.518347892165184,1.0
1970000,0.83766085,2.2520719,0.18153377,0.102668956,8.035519e-05,80.63559322033899,3.282840474177215,3.282840474177215,1.0
1980000,0.85819876,2.2298663,0.18665774,0.09276539,8.024879e-05,75.35897435897436,3.038313080010743,3.038313080010743,1.0
1990000,0.8166707,2.2479463,0.14045885,0.0990066,8.014744e-05,92.7,2.9927455091476443,2.9927455091476443,1.0
2000000,0.80953294,2.0045102,0.16160677,0.09500744,8.005279e-05,93.17708333333333,2.7814791332930326,2.7814791332930326,1.0
2010000,0.8044359,1.9524138,0.11017758,0.10099466,7.995503e-05,81.29126213592232,2.8535718292865937,2.8535718292865937,1.0
2020000,0.82785755,1.9954814,0.14511725,0.10286194,7.985555e-05,88.44086021505376,2.872173984634115,2.872173984634115,1.0
2030000,0.8250759,2.0252564,0.18318184,0.09477733,7.974832e-05,97.02105263157895,2.948771525795261,2.948771525795261,1.0
2040000,0.87234086,2.4597883,0.132137,0.10107811,7.965173e-05,82.44915254237289,3.4026785981960788,3.4026785981960788,1.0
2050000,0.8546016,2.0393484,0.20735876,0.092501745,7.9555786e-05,93.8314606741573,2.7060913235953685,2.7060913235953685,1.0
2060000,0.8368138,1.9752529,0.13417369,0.09301846,7.9449404e-05,71.76422764227642,3.1265214633166307,3.1265214633166307,1.0
2070000,0.8481718,2.6821504,0.11985091,0.09195231,7.934344e-05,63.820689655172416,3.777440175516852,3.777440175516852,1.0
2080000,0.8279355,2.5679502,0.1304749,0.10146659,7.924961e-05,75.16666666666667,3.4696051194554283,3.4696051194554283,1.0
2090000,0.72316027,2.4057996,0.3001668,0.09296192,7.915557e-05,74.45038167938931,2.9194404846839324,2.9194404846839324,1.0
2100000,0.81747997,2.3680615,0.1446726,0.09720109,7.9051795e-05,69.51492537313433,3.1501801334210295,3.1501801334210295,1.0
2110000,0.7987307,2.4927268,0.10265763,0.098762855,7.894765e-05,76.03418803418803,3.5907576806464436,3.5907576806464436,1.0
2120000,0.76953626,1.761173,0.15567611,0.097316206,7.884334e-05,88.60416666666667,1.9712188262688486,1.9712188262688486,1.0
2130000,0.8203729,1.7601401,0.14348632,0.09645243,7.874533e-05,85.12962962962963,2.1927317441613585,2.1927317441613585,1.0
2140000,0.8031756,1.7692982,0.11737176,0.101053044,7.864855e-05,97.31067961165049,2.696720998842739,2.696720998842739,1.0
2150000,0.76045674,1.9827354,0.117839135,0.0946059,7.854392e-05,76.96747967479675,2.582254453403194,2.582254453403194,1.0
2160000,0.74620086,1.837948,0.1601238,0.10022879,7.845006e-05,97.7159090909091,2.421818976991632,2.421818976991632,1.0
2170000,0.69318074,2.1413267,0.23875885,0.09913404,7.835444e-05,80.68376068376068,3.227937503621496,3.227937503621496,1.0
2180000,0.7676897,2.2340062,0.17356315,0.10029086,7.8245546e-05,84.54081632653062,3.189211460074993,3.189211460074993,1.0
2190000,0.8090324,1.7446238,0.2126851,0.10750684,7.81499e-05,89.63440860215054,2.193164654485472,2.193164654485472,1.0
2200000,0.7836521,1.8352802,0.24640736,0.09436052,7.805152e-05,88.6,2.8407142670715557,2.8407142670715557,1.0
2210000,0.7836635,1.9186821,0.12037371,0.097585835,7.794703e-05,81.30555555555556,2.8390579195780177,2.8390579195780177,1.0
