Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
430000,1.248922,0.0,0.052051775,0.23072498,1.120868016989894,637.4615384615385,0.9721777759835822,1.3398496086406522,0.014936131,0.09890261,0.00029362587,0.19362226,0.21407643
440000,1.2806331,0.0,0.13690929,0.2616452,-0.44893649416654724,186.52777777777777,-0.3060430295268275,0.39805810289564414,0.056161713,0.10021148,0.0002934855,0.17474368,0.1947657
450000,1.2386621,0.0,0.008596091,0.24069631,-0.0663884615640806,281.0,-0.1162082121599865,0.6160689742396714,0.025568545,0.1005221,0.00029332962,0.18188395,0.25228137
460000,1.1628158,0.0,0.043419085,0.23396762,0.45990206587107835,574.7727272727273,0.4998359132998461,1.1326138063728728,0.042966507,0.1012393,0.00029317322,0.18436685,0.20979944
470000,1.2289311,0.0,0.10774672,0.2267738,-0.09583587221657747,258.40909090909093,-0.09583595779787918,0.48195471067447215,0.016718904,0.09743394,0.0002930161,0.15337622,0.2293702
480000,1.1805977,0.0,-0.016677806,0.21711332,-0.3691855431240401,320.32,-0.3691856163466582,0.6632982390560209,0.025269024,0.10699137,0.00029287764,0.1684497,0.23324952
490000,1.2741958,0.0,-0.004137347,0.2004311,-0.14851823401183467,301.84615384615387,-0.11445904362131841,0.5226837884727865,0.022003531,0.10256998,0.00029273744,0.14853242,0.3040828
500000,1.2194723,0.0,0.13062839,0.1946063,-0.2522365986258956,220.6,-0.28099679971301855,0.37618247994060555,0.037592977,0.10192366,0.00029258255,0.12882407,0.32347125
510000,1.1001205,0.0,0.12749691,0.1749752,-0.6137731778163773,257.6,-0.6137733009527437,0.38139270891745886,0.011669373,0.10627709,0.00029242705,0.11584451,0.326622
520000,1.186904,0.0,0.06752951,0.16418715,-0.18454735367666456,277.5652173913044,-0.184547441307349,0.49353721988913807,0.008732923,0.106213674,0.00029227178,0.12444119,0.2899354
