Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,2.1925278,0.0,-0.033627875,-0.009784394,0.0030120956,0.09792369,0.00029984018,0.097102374,1.3808488,-0.88158578978795,241.15151515151516,-0.8815859429764025,0.16133954319538493
20000,2.1689665,0.0,-0.18082309,0.07129382,0.013933927,0.093668,0.00029956762,0.24013275,0.90240467,-0.6111291921602524,212.22448979591837,-0.611129322222301,0.5423814461243396
30000,2.0387914,0.0,-0.07929838,0.24551158,0.025351977,0.10143244,0.00029927102,0.3862339,0.9342865,-0.15663685358595103,167.08928571428572,-0.15663694962859154,0.7879100481846503
40000,1.8612922,0.0,-0.028578656,0.43798602,0.017989358,0.10287813,0.00029894974,0.34160152,1.0940664,-0.12613631677319945,155.16666666666666,-0.12613640319217334,0.6617178581372807
50000,1.7536724,0.0,0.11286706,0.4492127,0.024026984,0.09997263,0.0002986354,0.3836701,0.78613585,0.35824925392195933,91.65420560747664,0.3710503103035801,0.34738685077337444
60000,1.4992684,0.0,0.33476084,0.4697942,0.02905555,0.09804831,0.000298325,0.31913105,0.5658966,0.6231740961381648,57.105555555555554,0.6124240756034851,0.22191019645995563
70000,1.5005802,0.0,0.54669946,0.41985518,0.020725714,0.09417485,0.00029804604,0.25519103,0.6529168,0.7165718461127726,43.78661087866109,0.7246736404037875,0.11346761429892799
80000,1.1756654,4.0,0.7418352,0.38936165,0.013211092,0.096094795,0.00029776886,0.18846366,0.43103823,0.9128886596511832,18.81995661605206,0.9086999310071453,0.033121843977857564
90000,1.0102661,10.0,0.88658005,0.39427698,0.0016567493,0.1012727,0.00029745686,0.09903786,0.220336,0.9343190507061933,15.586744639376219,0.9343125839873511,0.01409250494375361
100000,1.2132907,10.0,0.43366355,0.33183274,0.004986993,0.099187404,0.00029716306,0.15968366,0.72438926,-1.0001249310735147,248.03125,-1.000125089660287,0.5243527728598565
110000,1.0689539,10.0,0.096679784,0.2839986,0.0010612758,0.09710611,0.0002968554,0.12820229,0.40892023,-0.9694877362741929,246.46341463414635,-0.969487892418373,0.3811330455468922
