Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
10000,2.1881647,0.0,-0.094634436,0.041243277,0.0017798846,0.094812796,0.00029983313,0.09666072,1.3822862,-0.9715249312110246,247.125,-0.9707949620026809,0.2122558668637887
20000,2.0902126,0.0,-0.24472934,0.09747618,0.0007032569,0.10565199,0.00029953365,0.18437418,1.2778666,-0.9999999310821295,248.0,-1.0000000894069672,0.4686964535803506
30000,1.8990732,0.0,-0.3098941,0.1887108,0.0012768809,0.10594499,0.00029925836,0.34144962,1.1104411,-0.9999999310821295,248.0,-1.0000000894069672,1.0239082105457782
40000,1.5275998,0.0,-0.34234124,0.44506338,0.0074772965,0.10009026,0.00029898708,0.4740513,0.8576636,-0.7664774136768805,223.56756756756758,-0.8023334137267537,1.5022873079611196
50000,1.3877853,0.0,-0.32432464,0.48044837,0.0058911266,0.09593313,0.00029866133,0.27852046,0.5611252,-0.6668732723221182,209.96,-0.6435164078777912,0.7221112184810872
60000,1.369112,0.0,-0.02459043,0.36117825,0.02934446,0.09960623,0.00029834238,0.21257591,0.4817802,0.40102606919208483,82.203125,0.3967900090799557,0.19589487050007295
70000,1.2719333,0.0,0.31249553,0.3067711,0.031337343,0.096875854,0.00029802538,0.20288286,0.4465386,0.6005789679916281,56.72631578947368,0.6107842001475786,0.12366561372274239
80000,1.3011683,0.0,0.46886635,0.26907796,0.025145136,0.09745175,0.0002977473,0.18035775,0.45709556,0.7016493081880989,46.38388625592417,0.6924660342847001,0.08934946639476547
90000,1.2094373,2.0,0.6049549,0.2362333,0.02361259,0.09722158,0.00029746856,0.15733802,0.51227415,0.8459642273252487,27.65950920245399,0.8459846677224329,0.04332914476231472
100000,1.0133862,8.0,0.8268672,0.24117081,0.00601997,0.0940655,0.00029716286,0.10497216,0.26646262,0.932222426363769,16.097053726169843,0.9322686360655046,0.016676740728938495
110000,1.0179466,10.0,0.8237976,0.2522974,0.0030619304,0.09666908,0.00029685075,0.1301932,0.39485192,0.627998337460061,52.782828282828284,0.6800414418000631,0.0836675734104772
120000,0.9631456,10.0,0.24206336,0.23898287,0.0028203886,0.09841272,0.00029653113,0.12851779,0.32163116,-0.7795609105435177,229.609756097561,-0.7898140300151913,0.2884196100193401
130000,1.0718757,10.0,0.002053406,0.23023185,0.005503821,0.09871943,0.00029625857,0.15384704,0.2880149,-0.3853263351532708,183.33333333333334,-0.43260902624863845,0.34383128022846693
140000,1.0168089,10.0,-0.026330352,0.25304416,0.014594993,0.09775687,0.000295964,0.15826514,0.2649247,-0.1538688043956874,160.04918032786884,-0.15386888580244096,0.263267928467239
150000,1.0313033,10.0,-0.008623133,0.22533613,0.016528348,0.096157804,0.00029564858,0.15077221,0.2223876,0.04109457025387839,137.70149253731344,0.0568282635826053,0.21067457877551066
160000,1.0010546,10.0,-0.02140286,0.1869214,0.011638375,0.100639544,0.00029533816,0.1329675,0.23078887,-0.3135262634564322,177.859649122807,-0.3134795761944955,0.24815729881326357
170000,1.0180119,10.0,-0.018081268,0.16278471,0.01860057,0.10092123,0.00029505504,0.13820861,0.21606342,0.02257623214474214,139.5142857142857,0.02253806803907667,0.19781978489564997
180000,0.9909771,10.0,0.00021243698,0.14634106,0.013465953,0.10232414,0.00029477538,0.12183584,0.2122804,-0.1548163795614264,156.94202898550725,-0.1547971354878467,0.19883329572453015
190000,0.9384641,10.0,0.057321806,0.13456912,0.020033363,0.09496709,0.00029446324,0.11273365,0.16977456,0.27207598753002343,114.37974683544304,0.27205905846402617,0.13463907737190586
200000,0.9678119,10.0,0.141643,0.1258765,0.018806558,0.094746165,0.00029414787,0.11141378,0.17351323,0.2544186384942339,109.63953488372093,0.24003064187093712,0.12695746789632859
210000,0.93758106,10.0,0.15151033,0.12454216,0.017669186,0.0941997,0.00029383734,0.11581087,0.19897026,0.15171376139418605,122.65882352941176,0.16539283983764194,0.14038822461762243
220000,0.91488427,10.0,0.1913544,0.12451104,0.021290436,0.100911565,0.00029355558,0.114616096,0.16555828,0.37161907728503657,93.57142857142857,0.355520827163543,0.11379377603589091
230000,0.9201174,10.0,0.25155768,0.12600909,0.018357156,0.09446739,0.00029327354,0.119911775,0.18142775,0.3622574584355744,96.48514851485149,0.3801221062641333,0.11691983256691901
240000,0.90134746,10.0,0.27814695,0.12328318,0.018375425,0.100018166,0.0002929627,0.106578745,0.18927391,0.40037781318782695,96.45714285714286,0.3838031720547449,0.10843255852038662
250000,0.8768003,10.0,0.34245577,0.116880305,0.01994076,0.09629168,0.0002926534,0.10483007,0.17559494,0.5978980368322957,71.52985074626865,0.5967537398213771,0.07575748318201626
260000,0.86133236,10.0,0.41129878,0.11751709,0.016878037,0.10242599,0.00029234067,0.10399457,0.16912238,0.5512572429986216,75.71653543307086,0.551855647423136,0.08284951895695385
270000,0.915024,10.0,0.33015448,0.11536391,0.016070073,0.09647404,0.00029205735,0.09929235,0.17368579,0.3352867018966936,100.0,0.33464666217565536,0.10055957437725738
280000,0.8859575,10.0,0.37579274,0.11437437,0.018044177,0.09761765,0.00029177513,0.10092591,0.1851711,0.5872789862423686,70.2482269503546,0.6006241250545421,0.07161262088805331
290000,0.8830596,10.0,0.3884281,0.11051068,0.016642604,0.097514756,0.00029146406,0.09735027,0.20031896,0.49066403015702964,82.264,0.4728736543366986,0.08578280797753964
