Steps,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
6940000,7.4070005,1.1026435,0.098271534,3.0648873e-05,0.30120602,154.7,9.169368147850037,9.169368147850037,1.0
6950000,8.143711,1.2689683,0.10310235,3.0544048e-05,0.3597662,168.27272727272728,11.419027662277221,11.419027662277221,1.0
6960000,6.4758234,0.87689507,0.1055392,3.0444702e-05,0.41427857,158.79166666666666,10.176528024673463,10.176528024673463,1.0
6970000,7.7704725,1.16309,0.09939798,3.034592e-05,0.2901045,161.41666666666666,9.178307970364889,9.178307970364889,1.0
6980000,6.681012,0.84011436,0.09284334,3.024545e-05,0.42711768,186.0952380952381,13.279160397393364,13.279160397393364,1.0
6990000,7.104865,0.9204501,0.10591835,3.0136809e-05,0.41185373,159.36363636363637,10.213256879286332,10.213256879286332,1.0
7000000,7.10083,0.540558,0.084266804,3.0049567e-05,0.36319244,152.2,10.427481973171234,10.427481973171234,1.0
7010000,7.8068295,1.2482377,0.10016117,2.9955185e-05,0.34957916,151.0,9.387487063805262,9.387487063805262,1.0
7020000,7.1122136,0.6943952,0.0951619,2.9847017e-05,0.28013968,180.625,13.186904415488243,13.186904415488243,1.0
7030000,7.8134756,0.82508075,0.09527024,2.9742698e-05,0.3060233,158.2,9.357446146011352,9.357446146011352,1.0
7040000,7.17132,0.84599364,0.09809135,2.9646724e-05,0.34667012,152.23529411764707,9.992567798670601,9.992567798670601,1.0
7050000,7.600001,1.1477046,0.10386908,2.955001e-05,0.3186131,154.8181818181818,9.189141392707825,9.189141392707825,1.0
7060000,7.092147,0.86689395,0.09761391,2.9443327e-05,0.28894573,152.68421052631578,9.379340469837189,9.379340469837189,1.0
7070000,6.9078197,0.9696525,0.10179594,2.9345943e-05,0.34018743,157.64705882352942,9.93278588189019,9.93278588189019,1.0
7080000,7.7247925,0.8355241,0.09745946,2.924916e-05,0.32226804,161.5,9.344738483428955,9.344738483428955,1.0
7090000,7.263552,0.89705217,0.09754641,2.9152367e-05,0.3439534,159.0,9.353770424922308,9.353770424922308,1.0
7100000,6.871113,0.885664,0.10369681,2.9046882e-05,0.30214423,173.08333333333334,10.069773028294245,10.069773028294245,1.0
7110000,7.3365736,0.87862986,0.09598675,2.8951035e-05,0.30539396,169.25,9.307393997907639,9.307393997907639,1.0
7120000,7.3176565,0.7630202,0.104179606,2.8843471e-05,0.34220448,158.375,11.968478128314018,11.968478128314018,1.0
7130000,8.515259,1.1117309,0.10144925,2.8746428e-05,0.30659676,212.0,12.461319824059805,12.461319824059805,1.0
7140000,7.3660913,1.0333762,0.09609195,2.8651202e-05,0.29602715,160.83333333333334,11.08252070347468,11.08252070347468,1.0
7150000,7.7642546,0.869712,0.10357823,2.8546376e-05,0.30049014,220.0,12.67693205922842,12.67693205922842,1.0
7160000,7.607805,0.9480164,0.099787846,2.8441635e-05,0.27663714,179.66666666666666,12.744777262210846,12.744777262210846,1.0
7170000,8.388726,1.0051464,0.09880214,2.8348115e-05,0.27849805,148.66666666666666,9.395033836364746,9.395033836364746,1.0
7180000,8.334333,0.7970178,0.0999444,2.8244704e-05,0.32182825,183.0,15.519013023376464,15.519013023376464,1.0
7190000,7.6289177,0.75774276,0.09138742,2.8148668e-05,0.3527293,169.0,11.802736729383469,11.802736729383469,1.0
7200000,7.997949,0.539193,0.09906436,2.805373e-05,0.33938998,199.16666666666666,16.13933579126994,16.13933579126994,1.0
7210000,7.0970287,1.002133,0.09802922,2.7945896e-05,0.3438075,158.5625,9.349858835339546,9.349858835339546,1.0
7220000,7.7034655,0.9238154,0.099899545,2.7846594e-05,0.32785147,173.13333333333333,14.144671479860941,14.144671479860941,1.0
7230000,7.059434,1.0021831,0.10046655,2.7750782e-05,0.31761438,165.28571428571428,10.31192003545307,10.31192003545307,1.0
7240000,8.33094,1.1718131,0.089952305,2.7656688e-05,0.25930053,149.25,9.379790514707565,9.379790514707565,1.0
7250000,6.797818,0.7024221,0.093283735,2.7550972e-05,0.31846482,201.11764705882354,13.201236298855614,13.201236298855614,1.0
7260000,7.067941,0.84318185,0.09701289,2.744922e-05,0.32895932,175.5,9.278873860836029,9.278873860836029,1.0
