Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
1690000,1.5475309,0.2405998403361688,121.91666666666667,4.0,0.05548797,0.04043895,0.2405997340877851,0.11741011217236519,0.015781317,0.09910366,0.00024944797,0.02028025,0.5901071
1700000,1.511958,2.7716654087998904,139.0,4.0,0.19053063,0.045695316,2.7716652750968933,0.1294519460061565,0.013801989,0.10302593,0.00024912873,0.021379467,0.5631304
1710000,1.5224781,0.773652977620562,103.75,4.0,0.13542579,0.04493881,0.7736528714497884,0.1099900754634291,0.028325547,0.09663008,0.00024884212,0.020976149,0.5499438
1720000,1.5338273,-0.32394113004780734,92.38461538461539,4.0,0.08526149,0.047221426,-0.32394118033922636,0.0874348169980714,0.020486133,0.09776903,0.00024855812,0.017497081,0.55153215
1730000,1.5173244,1.6097589445804867,93.66666666666667,4.0,0.15755144,0.045402985,1.609758883714676,0.07719012792222202,0.015396154,0.09789573,0.00024824784,0.019240193,0.5222174
1740000,1.5119231,0.7697319677293611,113.5,4.0,0.22653602,0.041636568,0.7697319289048513,0.07915620924904943,0.017023746,0.09019776,0.0002479357,0.017392555,0.51933163
1750000,1.5214983,0.9035376615123824,135.8,4.0,0.15410541,0.046792086,0.9035375654697418,0.1478085705311969,0.0077538346,0.09656509,0.00024765194,0.023314262,0.5253915
1760000,1.5383209,0.6412386913240576,185.33333333333334,4.0,0.11055606,0.042707946,0.6412386298179626,0.1725340491781632,0.0075402013,0.09404401,0.00024736545,0.017381983,0.5498093
1770000,1.5238295,-1.23210631120442,118.27272727272727,4.0,0.02113093,0.03628572,-1.2321063686500897,0.11497145954688842,0.018324478,0.092137985,0.00024705328,0.021456309,0.56306666
1780000,1.5396175,0.20900667179375887,144.71428571428572,4.0,0.0034265972,0.034271996,0.2090066032750266,0.19673942774534225,0.011131015,0.100260414,0.00024673552,0.019125266,0.5615736
1790000,1.5601854,0.632286342774303,113.38461538461539,4.0,0.071967095,0.036889896,0.6322863010259775,0.1031343533585851,0.018970873,0.09466824,0.00024645394,0.018513307,0.59159595
1800000,1.5734532,1.9115830574753798,113.88888888888889,4.0,0.13802762,0.042355396,1.9115829898251429,0.12843480106029245,0.008075744,0.096810326,0.00024616654,0.020803388,0.6526362
1810000,1.5692419,0.09665878898125481,136.54545454545453,4.0,0.01787249,0.04386076,0.09665872833945534,0.144671730697155,0.0048067984,0.10132833,0.00024585534,0.022626389,0.67630345
1820000,1.5420194,0.9904449529214097,183.85714285714286,4.0,0.10135561,0.048066985,0.9904448390007019,0.20569037912147387,0.012757985,0.09772125,0.0002455414,0.022094388,0.59831464
1830000,1.5600269,2.1264736973939256,129.33333333333334,4.0,0.23306818,0.052433897,2.12647365199195,0.1383944671187136,0.009707527,0.100641705,0.00024525647,0.02338026,0.6857145
1840000,1.5618783,0.5102547000084693,164.0,4.0,0.08157544,0.03662196,0.5102545718352,0.13371187297161669,0.008817305,0.090343595,0.00024497573,0.023053993,0.74148595
1850000,1.5627925,1.8213431525177188,151.0,4.0,0.18490961,0.042536512,1.8213431111403875,0.15383605073605264,0.009596193,0.09721282,0.00024466845,0.019739885,0.6561998
1860000,1.556213,-0.11468862338612477,136.16666666666666,4.0,0.13672908,0.046604883,-0.11468868205944698,0.203823599149473,0.01639198,0.097318724,0.00024435864,0.024072053,0.63370746
1870000,1.5621446,1.0218594065518118,138.375,4.0,0.099674046,0.038750943,1.0218592882156372,0.2178749074228108,0.009977188,0.09104124,0.0002440413,0.025563952,0.6799687
1880000,1.5740645,0.9876049208158458,133.0,4.0,0.16226049,0.048725612,0.9876048564910889,0.14717361483384261,0.018031076,0.0983401,0.00024372895,0.0179567,0.6471522
1890000,1.5386547,0.8502861367472049,135.71428571428572,4.0,0.091951974,0.04109514,0.8502860622746604,0.17289057267563684,0.008970954,0.09055892,0.00024344804,0.02149527,0.6295991
