Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10000,2.1934083,-0.4304185148053134,114.62962962962963,0.0,0.07113958,0.072128646,-0.4085115546353896,0.0734584008056957,0.051311184,0.09962765,0.00029992103,0.09470023,1.39675
20000,2.1657426,-0.37725247829803266,346.0,0.0,0.029583722,0.07299635,-0.4464467234081692,0.36472762779643136,0.015167651,0.09706479,0.0002997803,0.11302283,1.2019085
30000,2.107262,-0.9068191652809219,427.5625,0.0,-0.06474907,0.15726434,-0.9068191955666407,0.8922905573563185,0.019039612,0.09423314,0.0002996226,0.2849673,0.9988559
40000,2.0403216,-0.14911978068614742,374.4347826086956,0.0,-0.056065034,0.29043144,-0.14911981474142522,0.9693476401026482,0.03153044,0.0991196,0.00029946686,0.42542177,0.93778056
50000,1.8710628,-0.7762759141869537,376.85714285714283,0.0,-0.0574528,0.43571663,-0.7762759572339876,1.681236000831372,0.019480266,0.09777461,0.00029932646,0.43518987,0.96143055
60000,1.7144017,-0.4820302748486635,405.25,0.0,-0.10047845,0.47857234,-0.4820303032890176,1.6345856928383,0.027793575,0.100708306,0.00029918674,0.32491943,0.92873526
70000,1.6965786,-0.9208505126782984,308.16,0.0,-0.12177783,0.39769682,-0.9208505420899019,0.8167590261367149,0.038619988,0.098037,0.0002990306,0.24999878,0.7930074
80000,1.6377661,-1.070119198168186,485.875,0.0,-0.10923818,0.34191915,-1.0602973527265325,1.8065054679910342,0.03147198,0.09755106,0.0002988733,0.26840895,0.7408188
90000,1.5092986,-0.28777143445183484,444.0357142857143,0.0,-0.08993418,0.32895982,-0.31982924776595356,1.3056124140100016,0.056699026,0.099458806,0.00029871607,0.2812894,0.68133366
100000,1.4647765,-0.35981924129683807,220.1764705882353,0.0,-0.05664551,0.31761417,-0.3598192655365839,0.7235908604446141,0.056238804,0.09797356,0.00029857497,0.27897197,0.5793317
110000,1.4712583,-0.5239253078711604,280.12820512820514,0.0,-0.11934967,0.30727747,-0.5239253303667423,0.7809854777655206,0.04452079,0.10078027,0.00029843504,0.2680812,0.57008463
120000,1.4934366,-0.73634051146189,261.25,0.0,-0.09143508,0.28381714,-0.7363405352070913,0.7079691633589391,0.042354397,0.097452275,0.000298278,0.24702306,0.58713233
130000,1.4718657,-0.18406400796043776,279.8888888888889,0.0,-0.10181567,0.26617005,-0.18406403916176511,0.6222440378602456,0.058064472,0.10070542,0.00029812238,0.24566059,0.5758832
140000,1.510516,-0.17413565542189574,252.80769230769232,0.0,-0.013160456,0.2622643,-0.1379017744329758,0.6130594461178407,0.054332267,0.10041752,0.00029796618,0.24776049,0.5593464
