Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
6320000,0.7910262,4.725154,0.04478677,0.26915234,0.09411393,8.421394e-05,0.030359844,0.08619712,98.0909090909091,9.13648863751954,9.13648863751954,0.03874283839164541,1.0
6330000,0.73520094,4.4767556,0.04545368,0.24811001,0.0955223,8.418626e-05,0.03189243,0.07933464,106.54347826086956,7.887193430053151,7.887193430053151,0.04357016106824512,1.0
6340000,0.6971525,5.724966,0.040448625,0.28923523,0.10284178,8.416214e-05,0.022038976,0.023505988,122.01408450704226,12.91348842416011,12.91348842416011,0.034548959256195735,1.0
6350000,0.77378523,5.505616,0.0406581,0.30345005,0.09367657,8.4139276e-05,0.023343481,0.11413543,114.12,10.385366729215571,10.385366729215571,0.031484295323025435,1.0
6360000,0.7567433,5.222094,0.041100774,0.34654146,0.095734514,8.4114516e-05,0.026477953,0.06899376,95.25454545454545,8.613596838668261,8.613596838668261,0.030016823899515675,1.0
6370000,0.7956314,4.5233283,0.04222213,0.25204498,0.09805562,8.408814e-05,0.036233578,0.116872154,72.10526315789474,6.467345675579588,6.467345675579588,0.030041115624564036,1.0
6380000,0.6775547,4.8708544,0.036263563,0.055792212,0.09320064,8.406184e-05,0.025629234,0.053485878,65.46575342465754,7.415013016086736,7.415013016086736,0.01807007747574722,1.0
6390000,0.92575175,3.5280168,0.04057277,0.20326203,0.09912519,8.403729e-05,0.046563163,0.23967725,118.08641975308642,5.280089410115034,5.280089410115034,0.05670776960323565,1.0
6400000,0.706627,4.695654,0.041419234,0.13588205,0.10273971,8.401254e-05,0.023907695,0.03804563,110.14942528735632,9.428424340842122,9.428424340842122,0.031130347505082187,1.0
6410000,0.79253626,4.750946,0.039562467,0.054308884,0.09457375,8.398798e-05,0.02523771,0.07631992,76.74561403508773,7.617630983653822,7.617630983653822,0.020585640916690687,1.0
6420000,0.75211847,4.075272,0.04160119,0.14393681,0.09325447,8.3963816e-05,0.033035368,0.15111028,86.03478260869565,6.982218581697215,6.982218581697215,0.03257503383590475,1.0
6430000,0.6975014,4.67213,0.04141078,0.11551329,0.096143864,8.393775e-05,0.02333979,0.104729,65.2483660130719,7.085108438738032,7.085108438738032,0.02012163063730387,1.0
