Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward
1620000,0.5922332,42.0,0.43335015,0.014156142,0.008048558,0.09857252,0.0002515316,0.008140793,0.013470125,0.4153823985800366,137.52941176470588,0.4164589051751123,0.011975077169852844
1630000,0.6568728,42.0,0.37094638,0.015084054,0.010832319,0.098369494,0.00025125046,0.012050719,0.02372537,0.5321963376520823,112.9888888888889,0.5322097158164121,0.014449340416565851
1640000,0.72119397,44.0,0.52209914,0.019474179,0.0074161245,0.09752924,0.00025097132,0.020750593,0.02752935,0.7658724504232659,57.623456790123456,0.7644315095035576,0.017508571335411647
1650000,0.80426556,45.0,0.5842032,0.025892429,0.005450311,0.094169825,0.00025066407,0.03412491,0.044471517,0.752139419221291,61.012121212121215,0.7526748024108934,0.019916861475993333
1660000,0.6516585,47.0,0.6827246,0.027068086,0.0029269927,0.09702219,0.000250356,0.013569266,0.017096302,0.7919916886428837,51.0625,0.7911333672702312,0.008694428471790161
1670000,0.69342446,49.0,0.5430166,0.021866953,0.0077741817,0.0968771,0.00025004207,0.014688959,0.020575227,0.6913701413247477,70.92413793103448,0.6904004766709275,0.011336313501184728
1680000,0.66757834,50.0,0.6223087,0.025327792,0.002026598,0.102021635,0.0002497313,0.013857946,0.016702894,0.7567154719329598,59.920731707317074,0.757715156584075,0.00942167962661408
1690000,0.701652,51.0,0.5793827,0.024225296,0.0027850242,0.10323139,0.00024945033,0.016970735,0.01820295,0.6743442898799406,80.52459016393442,0.674934384764218,0.01512027915555709
1700000,0.64538974,53.0,0.6141134,0.019303218,0.0043551074,0.09706707,0.00024916945,0.012144578,0.012258509,0.7847430379228801,52.85474860335196,0.7839460362935199,0.007123271907372764
1710000,0.6625802,55.0,0.64660066,0.018406032,0.0029619068,0.09818713,0.00024885935,0.0114014605,0.013456443,0.7746589366931381,55.43023255813954,0.7751705615326415,0.008253050929133044
1720000,0.63507426,57.0,0.6998274,0.019290173,0.0018302926,0.09640283,0.0002485504,0.01762627,0.021593718,0.8104186630211947,46.459715639810426,0.8100395177212937,0.009385576029749525
1730000,0.6663968,58.0,0.62150675,0.018363593,0.0038101338,0.09382925,0.0002482384,0.01975364,0.026255962,0.679008026342839,77.272,0.682438163267028,0.01787779781678241
1740000,0.70224285,60.0,0.5542302,0.018990317,0.0018773346,0.097936146,0.00024792942,0.017259799,0.015654484,0.7441040588732643,63.07643312101911,0.7406877445269234,0.015746147615711286
1750000,0.68918157,63.0,0.7648455,0.026899194,0.002712364,0.09475848,0.00024762363,0.03726596,0.04455052,0.8831446883500802,28.313782991202345,0.8829648262244865,0.013802969188817238
1760000,0.59695876,68.0,0.8248958,0.030470321,0.0015985818,0.097664095,0.00024734638,0.02837621,0.047807537,0.9122688783112668,21.072527472527472,0.9120118112954418,0.0074004145280923694
1770000,0.52009857,70.0,0.8262423,0.027357014,0.0030730735,0.09320693,0.00024706312,0.032948714,0.10121504,0.834568645317335,38.19457013574661,0.8445342237661991,0.014693089073781656
1780000,0.46281257,70.0,0.42032394,0.025135713,0.010864067,0.10579214,0.00024674466,0.027901238,0.060243577,0.42080624601099814,126.05813953488372,0.408073611730753,0.04283605301823754
1790000,0.46870428,72.0,0.48279858,0.025370589,0.012087038,0.10154209,0.00024643732,0.016047824,0.02995575,0.8034201766689156,47.093023255813954,0.799609042077421,0.009158101681376173
1800000,0.42391548,76.0,0.77716875,0.024549246,0.0028091555,0.09287834,0.00024613194,0.018496523,0.033631623,0.8904913872929558,26.534059945504087,0.8914468752915593,0.005559401030586246
1810000,0.3593891,78.0,0.61228484,0.02054753,0.0072399015,0.10048245,0.000245826,0.007474421,0.013371922,0.8348333518505873,40.458333333333336,0.8339388847351075,0.003369974361460966
1820000,0.32759884,82.0,0.78029484,0.019863607,0.0035911922,0.09241009,0.0002455483,0.009542227,0.01697867,0.8881760459115959,27.04494382022472,0.8880636847755882,0.003674636067730359
1830000,0.38546097,83.0,0.71074116,0.01845231,0.0026843392,0.096448004,0.000245268,0.005802186,0.010302363,0.7343866006639372,63.68055555555556,0.7388505913060287,0.004767958155495982
1840000,0.41530082,85.0,0.52323234,0.013920404,0.0073232064,0.10074981,0.0002449562,0.004598131,0.008362641,0.7402699623439758,59.39877300613497,0.7353724559516083,0.0031447199666958855
1850000,0.32594663,86.0,0.6473105,0.012912965,0.004636711,0.10359738,0.00024464884,0.011130984,0.010206322,0.7010963232601406,68.04444444444445,0.7037907593006635,0.011730510752472483
1860000,0.37886155,86.0,0.39629474,0.005785797,0.0109408805,0.102298714,0.0002443382,0.014197856,0.014270917,0.5414330268581158,103.0721649484536,0.5414329801023621,0.015281150785741965
1870000,0.46841526,88.0,0.5118249,0.0051473244,0.010056428,0.10292699,0.000244056,0.0085870875,0.019003823,0.8053284748593663,47.760975609756095,0.8053464128398428,0.0049925501607503975
1880000,0.48409623,90.0,0.69518304,0.0046895565,0.0012617948,0.09526144,0.00024377365,0.0077444473,0.017802563,0.7999204954411362,49.111675126903556,0.7999293184039569,0.004303717087058238
1890000,0.43581402,92.0,0.6644345,0.005249277,0.0020526492,0.101101086,0.00024346526,0.004868997,0.0050945072,0.7740579073088701,55.550898203592816,0.7740579001203982,0.00332348065068778
1900000,0.43768838,93.0,0.60580105,0.008947688,0.006910124,0.09771305,0.00024315812,0.008265193,0.016168945,0.6788983322853633,70.79661016949153,0.6788983127828372,0.0074453858068702205
1910000,0.5190591,94.0,0.5326435,0.014705911,0.007325052,0.09716152,0.00024285007,0.017045615,0.01407015,0.6392570926918316,86.9322033898305,0.6382108233932756,0.015409083102079025
1920000,0.5578006,96.0,0.58063596,0.016719732,0.004083743,0.09771855,0.00024253922,0.011552568,0.021821324,0.7913750223912454,51.223958333333336,0.7912210957991644,0.00720087400014172
1930000,0.49987325,97.0,0.6461283,0.01723983,0.0055471184,0.09673208,0.00024222917,0.01299849,0.010792607,0.46989658766094294,108.29885057471265,0.5223928477082934,0.014789779402452127
1940000,0.4979739,97.0,0.28692204,0.013220311,0.010528089,0.09762777,0.00024194489,0.010136141,0.013279726,0.19610774024532965,153.58461538461538,0.13741288701100135,0.01743356128911307
1950000,0.52533746,97.0,0.23318428,0.01388975,0.017246615,0.09739871,0.0002416633,0.011254721,0.014405774,0.545329787360344,107.16129032258064,0.5417885110583357,0.011930119701265608
1960000,0.5600262,99.0,0.45751154,0.019412737,0.011052288,0.10299411,0.00024135395,0.022282682,0.021308538,0.7847760904162454,51.57435897435897,0.7848444582560123,0.014481778658377246
1970000,0.56388414,101.0,0.63177496,0.017548142,0.0054890187,0.09554484,0.0002410453,0.0091610225,0.016571544,0.7326396644002179,65.75,0.7332883102668298,0.007214197246326335
1980000,0.48416474,102.0,0.58690864,0.018293073,0.0032513766,0.103260905,0.00024076193,0.007807076,0.014877875,0.6920133618451655,75.976,0.6933040089607239,0.006276607387699187
1990000,0.5180165,103.0,0.44242263,0.01260117,0.009910769,0.09957541,0.00024046807,0.0071965256,0.012226103,0.6086396744290182,92.30630630630631,0.606405388664555,0.007552770873623992
2000000,0.5185853,105.0,0.6385803,0.017019914,0.0043231,0.09812127,0.00024015919,0.023106454,0.030399585,0.8254687253703001,42.7117903930131,0.825917072171207,0.0118827918950086
2010000,0.59188026,107.0,0.7028028,0.02011244,0.001815709,0.09850462,0.0002398513,0.014946625,0.022566501,0.8135696003457658,45.68446601941748,0.8132351334544196,0.0077634842864998084
2020000,0.5755234,108.0,0.5412155,0.014499413,0.00797503,0.10131486,0.00023953969,0.008833341,0.018566731,0.662016556457778,73.02479338842976,0.659546237532832,0.008231512386794006
2030000,0.6189415,110.0,0.6416346,0.018828979,0.00237638,0.10354905,0.00023923043,0.012227198,0.02306627,0.7792889117418478,54.266666666666666,0.7800092282216193,0.007404860496927485
2040000,0.60129887,111.0,0.61677915,0.018439634,0.0016870254,0.09161443,0.00023894866,0.010098862,0.014175507,0.7000808328263123,74.06818181818181,0.7001009678298776,0.009642656274302157
2050000,0.608414,113.0,0.6215067,0.017626414,0.0026999195,0.09942009,0.00023866724,0.011286652,0.01741853,0.7919403727999643,51.1,0.7914938595559862,0.0067876846426063115
2060000,0.57269776,114.0,0.6531549,0.01495974,0.004013286,0.09494414,0.00023835881,0.00708938,0.009496411,0.6536253463014845,70.03100775193798,0.6684589869700945,0.0051961494609713554
2070000,0.6369764,116.0,0.5837617,0.016061002,0.004801906,0.098174945,0.00023805143,0.0152026685,0.016449204,0.7925416873816479,50.9375,0.7827899449815353,0.009701308501765501
2080000,0.5228519,118.0,0.67581314,0.018598417,0.004010317,0.10208611,0.00023774493,0.013866422,0.011212182,0.7372482495237116,62.92198581560284,0.7386761347875528,0.01059876374259644
2090000,0.64635265,119.0,0.48503473,0.019028325,0.004419263,0.0979255,0.00023743491,0.017314173,0.020157637,0.6786989535415365,79.31451612903226,0.678172018739485,0.014485938754777664
2100000,0.65751016,119.0,0.5749082,0.014423332,0.00080351176,0.09545546,0.00023712586,0.006262006,0.004968049,0.7345175701990038,65.42763157894737,0.7345055010145074,0.004355690571547344
