Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Is Training
6270000,1.5442406,205.33333333333334,0.22233088,0.05110192,1.3561265899834434,1.3561265899834434,0.11421379873417722,0.2944405,0.09958686,4.2168518e-05,0.038792104,1.0117409,1.0
6280000,1.5883459,735.8095238095239,0.14321521,0.054932017,0.8748299885162457,0.8748299885162457,0.38657841280060395,0.0549592,0.090694554,4.2156607e-05,0.044164497,1.0127779,1.0
6290000,1.6150335,141.10526315789474,0.16556115,0.054164752,1.2360934424803114,1.2360934424803114,0.06994147457819629,0.066774465,0.09486237,4.214453e-05,0.03817211,1.0255616,1.0
6300000,1.6186829,529.0,0.19522451,0.049882784,0.13574591208216386,0.13574591208216386,0.2817257220203129,0.040427648,0.09485291,4.213147e-05,0.033163406,1.1732613,1.0
6310000,1.650936,171.73684210526315,0.15760279,0.045110054,0.6389370748453959,0.6389370748453959,0.08596924068923625,0.10421648,0.09825861,4.211837e-05,0.029619772,1.3073614,1.0
6320000,1.5831343,236.78571428571428,0.11228596,0.051473428,0.6292791029013416,0.6292791029013416,0.14451113433046728,0.06302531,0.092629164,4.2105396e-05,0.115746,1.2608643,1.0
6330000,1.6184877,137.2,0.1300286,0.04743257,0.7975668307015259,0.7975668307015259,0.0392383532889653,0.15341128,0.09345173,4.2093547e-05,0.015856273,1.4269137,1.0
6340000,1.6215546,85.33333333333333,0.100645535,0.044268057,0.8977017127550565,0.8977017127550565,0.07918606680602981,0.07957617,0.100290515,4.2081527e-05,0.020186916,1.3218467,1.0
6350000,1.619239,425.36842105263156,0.10464608,0.047164932,1.092619743883428,1.092619743883428,0.1610221196563687,0.1353799,0.09641676,4.2068386e-05,0.04899953,1.3493764,1.0
6360000,1.6621727,161.13333333333333,0.161487,0.051839832,0.6313851352258512,0.6313851352258512,0.08089841382849651,0.042054433,0.09553454,4.2056516e-05,0.022761213,1.3970618,1.0
6370000,1.6535908,672.8888888888889,0.18451747,0.04557185,1.0297117102900453,1.0297117102900453,0.4464660245018119,0.15330902,0.09778722,4.204475e-05,0.07880359,1.4177421,1.0
6380000,1.6345701,405.44444444444446,0.116258085,0.04179399,0.7828497455257758,0.7828497455257758,0.3666369644957336,0.042834334,0.097579494,4.2031734e-05,0.012764925,1.3999608,1.0
6390000,1.5965582,759.952380952381,0.22417147,0.042960238,1.803670145682475,1.803670145682475,0.4808634872523336,0.16722104,0.097260386,4.2018673e-05,0.029601917,1.3053243,1.0
6400000,1.6305236,807.0625,0.14758378,0.0362591,0.7984098750981246,0.7984098750981246,0.37554304637160385,0.06981973,0.09433532,4.2005606e-05,0.023126606,1.3818997,1.0
