Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.152694,-0.44257954,0.20374745,0.10195201,9.994881e-05,122.0,15.979055762290955,15.979055762290955,1.0
20000,2.0453165,-0.5931429,2.7667994,0.10047649,9.9853714e-05,67.1304347826087,8.528921254303144,8.528921254303144,1.0
30000,1.9536729,0.44707575,3.4051156,0.09642081,9.975078e-05,68.98571428571428,10.189688371575397,10.189688371575397,1.0
40000,1.9215322,1.1420442,1.6922951,0.10479619,9.965082e-05,56.93181818181818,7.462561401453885,7.462561401453885,1.0
50000,1.7106688,3.3779006,8.141572,0.09774064,9.955062e-05,49.708955223880594,12.934426361055516,12.934426361055516,1.0
60000,1.6634337,4.7919054,4.8639116,0.09348395,9.9455065e-05,51.34782608695652,12.932516764903415,12.932516764903415,1.0
70000,1.4911177,6.100665,3.8660958,0.10123476,9.935229e-05,47.305882352941175,13.35152991055048,13.35152991055048,1.0
80000,1.4038477,6.047738,4.724903,0.0996756,9.9249286e-05,41.800970873786405,12.603544137536026,12.603544137536026,1.0
90000,1.5512687,5.159306,3.5453544,0.099073336,9.915276e-05,45.43312101910828,10.269671316388287,10.269671316388287,1.0
100000,1.7609141,3.3064706,2.269462,0.0997299,9.9054945e-05,50.76190476190476,5.0519336972917825,5.0519336972917825,1.0
110000,1.6875323,3.5019033,1.2900076,0.09936034,9.8948716e-05,49.542857142857144,16.207524967193603,16.207524967193603,1.0
120000,1.7835206,1.7548094,1.1131878,0.09688241,9.8852266e-05,61.333333333333336,8.557550144195556,8.557550144195556,1.0
130000,1.7536638,2.3929398,1.0494509,0.09666762,9.874821e-05,58.61904761904762,7.205822882198152,7.205822882198152,1.0
140000,1.6954972,1.3100903,0.37213227,0.101605594,9.86477e-05,50.51851851851852,6.364092014454029,6.364092014454029,1.0
150000,1.6511097,1.6069854,0.32265586,0.09709392,9.855135e-05,43.088235294117645,7.189249908222871,7.189249908222871,1.0
160000,1.5044104,1.772067,0.6446502,0.10287996,9.844173e-05,55.10344827586207,6.984347113391809,6.984347113391809,1.0
170000,1.4675194,2.842888,0.83232725,0.10068663,9.834863e-05,37.15822784810127,7.024483330642121,7.024483330642121,1.0
180000,1.5099511,3.520259,2.6293316,0.09714079,9.8256976e-05,49.125,10.4394177271996,10.4394177271996,1.0
190000,1.6422822,1.4303991,0.5522316,0.09807587,9.8154334e-05,60.714285714285715,9.398789065224785,9.398789065224785,1.0
200000,1.388,3.4397562,3.5644276,0.09984023,9.804785e-05,41.603053435114504,10.348032060036292,10.348032060036292,1.0
210000,1.5171796,3.5361924,3.322477,0.09555904,9.795021e-05,49.94736842105263,13.249895070728503,13.249895070728503,1.0
220000,1.3488438,2.632561,0.92824227,0.096433826,9.7850934e-05,58.608695652173914,6.081275641270306,6.081275641270306,1.0
230000,1.2582546,4.87559,4.077785,0.1018614,9.7746706e-05,47.46212121212121,11.894227782586464,11.894227782586464,1.0
240000,1.4493159,3.0669465,0.83405095,0.09622377,9.764341e-05,48.90909090909091,9.757296562194824,9.757296562194824,1.0
250000,1.3346305,2.6559918,0.46407145,0.10033188,9.754959e-05,31.728571428571428,5.847350936005081,5.847350936005081,1.0
260000,1.2435993,3.272282,1.6880214,0.100041494,9.744981e-05,62.411764705882355,7.551829619818375,7.551829619818375,1.0
270000,1.28624,3.0134637,0.5105989,0.09963342,9.7348675e-05,40.833333333333336,6.118283196671368,6.118283196671368,1.0
280000,1.5298352,1.584875,0.4759518,0.09573051,9.7249016e-05,128.0,12.026321336627007,12.026321336627007,1.0
290000,1.3746282,1.9944594,1.1437919,0.0970674,9.714441e-05,55.30555555555556,12.083896432604108,12.083896432604108,1.0
300000,1.3149197,2.359534,2.1758628,0.10143093,9.7041986e-05,49.771929824561404,10.406335789581824,10.406335789581824,1.0
310000,1.2850304,3.3705106,1.3296173,0.100085735,9.694645e-05,54.94444444444444,9.634282659476911,9.634282659476911,1.0
320000,1.1978333,2.617742,0.8036976,0.098757066,9.6842785e-05,49.37313432835821,7.692198831643632,7.692198831643632,1.0
330000,1.357963,3.008457,2.0138845,0.09855728,9.674478e-05,56.779661016949156,11.361654766400655,11.361654766400655,1.0
340000,1.1717495,3.5287359,1.3058481,0.09462491,9.664693e-05,43.627906976744185,6.802723107469636,6.802723107469636,1.0
350000,1.3297262,3.1314662,1.0207026,0.10036167,9.654359e-05,48.59649122807018,10.17003202542924,10.17003202542924,1.0
360000,1.2930505,3.2691696,0.5585357,0.09518668,9.644399e-05,40.20779220779221,7.410228484555295,7.410228484555295,1.0
370000,1.2446319,3.8656733,2.373479,0.098905034,9.634627e-05,44.6986301369863,9.318272313556156,9.318272313556156,1.0
380000,1.2794225,2.098969,1.3702807,0.098645374,9.623918e-05,28.86046511627907,6.128946349734352,6.128946349734352,1.0
390000,1.4689199,2.3067114,3.037772,0.09400534,9.6151e-05,51.724137931034484,9.597610441843669,9.597610441843669,1.0
400000,1.4536581,2.1504052,0.6593157,0.102928355,9.605492e-05,87.06818181818181,6.978060467676683,6.978060467676683,1.0
410000,1.4586822,1.7007093,0.82518053,0.09679791,9.594893e-05,58.41379310344828,12.142464835068274,12.142464835068274,1.0
420000,1.4944985,0.8114824,0.36129117,0.10009669,9.58471e-05,120.3076923076923,3.184253419821079,3.184253419821079,1.0
430000,1.3070015,2.0100536,0.5463266,0.10747635,9.57531e-05,63.0722891566265,6.131810071264825,6.131810071264825,1.0
440000,1.3011569,2.5467296,1.9557123,0.09335341,9.5654876e-05,41.825,8.300474029779433,8.300474029779433,1.0
450000,1.2728124,2.8106937,2.3412027,0.0959067,9.5539246e-05,50.48571428571429,8.079092123139073,8.079092123139073,1.0
