Steps,Policy/Entropy,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Extrinsic Reward,Policy/Curiosity Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss
10890000,1.5008199,4.847966793127252,170.44444444444446,1.1797193,0.049985677,4.847967161566885,0.14564731060009864,0.81080693,0.09936963,0.0002455783,0.08998357,0.6371404
10900000,1.4926404,38.47356014084917,274.8,1.4145484,0.0784817,38.47355986470261,0.2889326202411515,2.7295086,0.09960868,0.0002455263,0.06918017,0.66492033
10910000,1.5785134,5.892690565735451,219.875,1.3182715,0.077947624,5.892691850504581,0.17985388654528833,3.3518562,0.09927042,0.00024547416,0.061564803,0.7989912
10920000,1.559978,23.163605875033628,574.3076923076923,1.2395582,0.11237905,23.163606204899054,0.5736204241760648,2.0943956,0.11629865,0.00024542178,0.05991627,0.81946146
10930000,1.5782527,6.149862323027635,272.06666666666666,1.1096983,0.09539481,6.149862864186216,0.1907585583937665,1.4937958,0.10014874,0.00024537515,0.051997073,0.927056
10940000,1.5814824,12.411979849915864,728.1538461538462,1.225881,0.07436069,12.411980133516057,0.5283823164108281,0.8701108,0.096897766,0.0002453282,0.057037067,0.90872
10950000,1.5536658,16.44431930660934,521.75,1.7559085,0.0761596,16.444318576173877,0.3657783069688776,1.9883465,0.102243915,0.00024527597,0.065628074,0.8322898
10960000,1.5337534,17.515529454307803,258.7692307692308,1.2542793,0.07971236,18.714334291537543,0.2242814838925066,0.40795213,0.09552433,0.00024522404,0.06938587,0.8011138
10970000,1.5297941,8.357958976000369,244.0,1.3649058,0.08805277,8.13065107813803,0.23239875303419388,2.1733146,0.09759828,0.0002451715,0.066186145,0.781675
10980000,1.5248466,48.145171023890725,169.125,1.5888907,0.113661885,48.14517458900809,0.16405952838249505,5.851903,0.10134046,0.00024512474,0.06072016,0.7023237
10990000,1.5373261,28.529114904438597,629.6,1.7688135,0.09149908,28.529116706467278,0.5049705576850101,3.5825286,0.099557705,0.00024507748,0.13073291,0.76260215
11000000,1.5405571,2.8214735138279807,641.4166666666666,1.7187581,0.092153355,3.2047591548176055,0.5621654534069503,3.4070873,0.10804746,0.00024502585,0.06253373,0.6794329
11010000,1.5340619,32.55872504231354,389.38461538461536,2.072885,0.0833573,30.133483096725595,0.2584697356547362,3.5682266,0.09513788,0.00024497276,0.059560925,0.60409737
11020000,1.5323385,24.87090470136256,735.5,1.7596415,0.07898417,24.870904976939805,0.664840835080083,2.588016,0.10225169,0.00024492544,0.06577877,0.56552476
11030000,1.4530145,7.717457761166249,593.8235294117648,1.5612614,0.073240876,7.717457221152559,0.4308687684345333,0.66073173,0.10125102,0.00024487812,0.05790754,0.5853716
11040000,1.4131526,8.771788712957582,199.46666666666667,1.8218576,0.06933604,8.771788731011958,0.14541850406676532,2.0760403,0.10224994,0.00024482547,0.06490195,0.51688826
11050000,1.3774654,23.132645012135093,325.7,1.733551,0.075903155,23.132644362612815,0.25523095205426216,3.2300248,0.10303092,0.00024477267,0.07478131,0.4944141
11060000,1.3612818,14.007133529550194,319.5,1.6194887,0.07954319,14.690011274727487,0.3103795334515345,1.6769716,0.09198296,0.0002447258,0.08055331,0.49382555
11070000,1.32479,14.72399590880902,299.2631578947368,1.7151321,0.0835099,13.90284310299773,0.2697085977066308,1.8779106,0.10568478,0.0002446781,0.07426097,0.4090333
11080000,1.3806561,19.75399695600208,241.3125,1.2575235,0.08957972,19.75399731525045,0.24376936873159138,2.9930491,0.10326431,0.00024462526,0.07614027,0.40655914
11090000,1.457901,17.1589034335366,196.26666666666668,1.8788825,0.07834871,17.15890291005031,0.15105584524153529,3.0092003,0.10339038,0.0002445728,0.06226828,0.59126544
